Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Distance
10.8,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3451.35
10.825,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3451.35
10.86,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.05
10.905,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.05
10.935,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.05
10.965,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3451.78
10.991,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3451.78
11.025,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3451.78
11.123,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
11.143,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
11.16,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.9
11.191,-0.95,0.38,-9.63,0.06,-0.08,-0.05,3454.74
11.221,-0.95,0.38,-9.63,0.06,-0.08,-0.05,3454.74
11.266,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.294,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.326,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.355,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.386,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.432,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.457,-0.95,0.37,-9.63,0.06,-0.08,-0.05,3452.2
11.488,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.9
11.518,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3453.9
11.564,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3452.63
11.648,-0.94,0.39,-9.63,0.06,-0.08,-0.05,3452.63
11.659,-0.94,0.39,-9.63,0.06,-0.08,-0.05,3452.63
11.695,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3452.2
11.722,-0.94,0.36,-9.63,0.06,-0.08,-0.05,3452.2
11.756,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
11.786,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
11.817,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
11.861,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
11.886,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3453.05
11.92,-0.95,0.36,-9.64,0.06,-0.08,-0.05,3451.78
11.949,-0.95,0.36,-9.64,0.06,-0.08,-0.05,3451.78
11.981,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3454.32
12.025,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3454.32
12.048,-0.95,0.37,-9.64,0.06,-0.08,-0.05,3454.32
12.155,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
12.177,-0.94,0.37,-9.62,0.06,-0.08,-0.05,3453.05
12.223,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3454.32
12.249,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3454.32
12.282,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3451.35
12.31,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3451.35
12.343,-0.95,0.36,-9.63,0.06,-0.08,-0.05,3451.35
12.387,-0.93,0.36,-9.63,0.06,-0.08,-0.05,3453.47
12.412,-0.93,0.36,-9.63,0.06,-0.08,-0.05,3453.47
12.448,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
12.478,-0.95,0.37,-9.62,0.06,-0.08,-0.05,3453.47
12.523,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3451.78
12.549,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3451.78
12.582,-0.93,0.37,-9.63,0.06,-0.08,-0.05,3451.78
12.687,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3454.74
12.706,-0.94,0.37,-9.63,0.06,-0.08,-0.05,3454.74
12.752,-0.94,0.38,-9.62,0.06,-0.08,-0.05,3453.05
12.779,-0.94,0.38,-9.62,0.06,-0.08,-0.05,3453.05
12.813,-0.94,0.38,-9.62,0.06,-0.08,-0.05,3453.05
